"","Date","Sunrise","Sunset","Min_AltimeterSetting","Avg_AltimeterSetting","Max_AltimeterSetting","Min_DewPointTemperature","Avg_DewPointTemperature","Max_DewPointTemperature","Min_DryBulbTemperature","Avg_DryBulbTemperature","Max_DryBulbTemperature","Min_Precipitation","Avg_Precipitation","Max_Precipitation","Min_PressureChange","Avg_PressureChange","Max_PressureChange","Min_PressureTendency","Avg_PressureTendency","Max_PressureTendency","Min_RelativeHumidity","Avg_RelativeHumidity","Max_RelativeHumidity","Min_SeaLevelPressure","Avg_SeaLevelPressure","Max_SeaLevelPressure","Min_StationPressure","Avg_StationPressure","Max_StationPressure","Min_Visibility","Avg_Visibility","Max_Visibility","Min_WetBulbTemperature","Avg_WetBulbTemperature","Max_WetBulbTemperature","Min_WindGustSpeed","Avg_WindGustSpeed","Max_WindGustSpeed","Min_WindSpeed","Avg_WindSpeed","Max_WindSpeed"
"1","2006-01-01","07:44:00.0000000","17:40:00.0000000",29.98,30.02,30.09,28,42.7894736842105,54,30,52.6842105263158,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,71.0526315789474,94,NA,NA,NA,28.87,28.91,28.98,3,6.42105263157895,7,29,47.5789473684211,55,16,16.5,17,0,6.36842105263158,11
"2","2006-01-02","07:44:00.0000000","17:41:00.0000000",29.69,29.7860869565217,29.92,50,57.75,63,34,56.7272727272727,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,95.8,100,NA,NA,NA,28.59,28.6830434782609,28.81,0,2.318,5,51,58.3,63,17,17,17,0,4.69565217391304,11
"3","2006-01-03",NA,NA,29.86,29.9776470588235,30.05,39,41,43,46,50.2352941176471,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,71.2352941176471,82,NA,NA,NA,28.75,28.8676470588235,28.94,7,9.82352941176471,10,43,46.1176470588235,49,20,20,20,0,6.94117647058824,13
"4","2006-01-04",NA,NA,29.89,29.9629411764706,30.08,36,42.8823529411765,46,37,55.0588235294118,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,65.2352941176471,100,NA,NA,NA,28.78,28.855,28.97,7,9.47058823529412,10,37,48.8125,53,NA,NA,NA,0,4,9
"5","2006-01-05",NA,NA,29.78,29.8433333333333,29.87,28,34.5555555555556,39,39,44.5,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,69.3888888888889,81,NA,NA,NA,28.68,28.7355555555556,28.76,6.96,8.33111111111111,10,35,40.0555555555556,43,16,19.6666666666667,23,5,133.388888888889,2237
"6","2006-01-06",NA,NA,29.91,29.998125,30.09,19,23.7857142857143,28,34,36.6428571428571,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,60.4285714285714,70,NA,NA,NA,28.8,28.888125,28.98,10,10,10,29,31.8571428571429,35,0,17.3076923076923,23,7,9.6875,14
"7","2006-01-07",NA,NA,30.05,30.0866666666667,30.15,16,19.2666666666667,23,30,39.9333333333333,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,45.4666666666667,69,NA,NA,NA,28.94,28.9728571428571,29.03,7,9.6,10,26,32.5,37,17,17,17,5,7,9
"8","2006-01-08",NA,NA,30.03,30.085,30.13,23,38.25,45,28,51.6875,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,61.9375,93,NA,NA,NA,28.92,28.975,29.02,7,9.8,10,26,45.1875,52,16,16.75,18,0,6.5,10
"9","2006-01-09",NA,NA,30.2,30.26,30.32,48,51.75,54,50,59.375,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,76.9375,94,NA,NA,NA,29.08,29.14,29.2,7,9.8125,10,49,55,59,17,17,17,0,4.9375,13
"10","2006-01-10","07:45:00.0000000","17:48:00.0000000",30.18,30.2794444444444,30.37,37,46.8333333333333,55,48,60,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,65.9444444444444,100,NA,NA,NA,29.06,29.1594444444444,29.25,0.75,7.37166666666667,10,47,53.0555555555556,58,16,17.8571428571429,22,0,6.66666666666667,15
"11","2006-01-11","07:44:00.0000000","17:49:00.0000000",30.08,30.1144444444444,30.17,41,49.1764705882353,54,34,54.4444444444444,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,80.0588235294118,100,NA,NA,NA,28.97,29.0027777777778,29.05,0,7.20588235294118,10,43,52.2941176470588,58,NA,NA,NA,0,4,11
"12","2006-01-12",NA,NA,30.03,30.0717647058824,30.13,37,41.3529411764706,46,37,53.7058823529412,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,67.0588235294118,100,NA,NA,NA,28.92,28.9605882352941,29.02,10,10,10,37,47.4705882352941,53,NA,NA,NA,0,2.70588235294118,8
"13","2006-01-13","07:44:00.0000000","17:50:00.0000000",29.61,29.7478947368421,29.9,30,45.1578947368421,55,39,50.8888888888889,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,79.7222222222222,94,NA,NA,NA,28.51,28.6527777777778,28.79,0,7.18421052631579,10,35,47.5294117647059,56,16,26.7272727272727,46,0,11.6842105263158,32
"14","2006-01-14",NA,NA,29.82,29.9747058823529,30.13,19,22.5882352941176,28,32,35.2352941176471,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,61.3529411764706,75,NA,NA,NA,28.71,28.86125,29.02,7,9.47058823529412,10,28,30.875,33,20,27.1764705882353,37,11,14.5882352941176,18
"15","2006-01-15",NA,NA,29.99,30.034375,30.09,19,23.9411764705882,27,30,43,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,49.5294117647059,80,NA,NA,NA,28.88,28.924375,28.98,7,9.64705882352941,10,28,35.375,40,17,17,17,0,7.11764705882353,10
"16","2006-01-16","07:44:00.0000000","17:53:00.0000000",29.88,29.9122222222222,29.96,27,42.8888888888889,52,45,53.0555555555556,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,69.5,94,NA,NA,NA,28.77,28.8022222222222,28.85,6,9.41176470588235,10,38,48.2222222222222,53,NA,NA,NA,0,4.27777777777778,8
"17","2006-01-17","07:43:00.0000000","17:54:00.0000000",29.53,29.6684615384615,29.79,39,49.304347826087,54,43,53.0833333333333,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,87.4782608695652,94,NA,NA,NA,28.43,28.5708,28.69,2,4.91304347826087,10,41,50.8181818181818,55,0,21,38,3,10.96,23
"18","2006-01-18",NA,NA,30.07,30.205625,30.31,23,26,28,30,41,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,58.3125,87,NA,NA,NA,28.96,29.0875,29.19,7,9.8125,10,29,35.0625,39,20,23.8571428571429,29,0,9.875,23
